minute,temp,heater
0,18.34,1
1,18.68,1
2,19.02,1
3,19.41,1
4,19.75,1
5,20.03,1
6,20.4,1
7,20.74,1
8,21.08,1
9,21.44,1
10,21.8,1
11,22.21,1
12,22.59,1
13,22.95,1
14,23.26,1
15,23.56,1
16,23.37,0
17,23.24,0
18,23.04,0
19,22.83,0
20,22.66,0
21,22.39,0
22,22.17,0
23,21.99,0
24,21.83,0
25,21.62,0
26,21.44,0
27,21.25,0
28,21.09,0
29,20.83,0
30,20.66,0
31,20.38,0
32,20.6,1
33,20.92,1
34,21.22,1
35,21.61,1
36,21.99,1
37,22.28,1
38,22.67,1
39,22.97,1
40,23.32,1
41,23.66,1
42,23.47,0
43,23.31,0
44,23.14,0
45,22.96,0
46,22.79,0
47,22.61,0
48,22.38,0
49,22.14,0
50,21.92,0
51,21.74,0
52,21.53,0
53,21.45,0
54,21.21,0
55,20.96,0
56,20.8,0
57,20.67,0
58,20.5,0
59,20.89,1
60,21.31,1
61,21.66,1
62,21.94,1
63,22.26,1
64,22.11,0
65,21.84,0
66,21.64,0
67,21.45,0
68,21.23,0
69,21.07,0
70,20.9,0
71,20.82,0
72,20.65,0
73,20.42,0
74,20.74,1
75,21.05,1
76,21.45,1
77,21.77,1
78,22.12,1
79,22.51,1
80,22.82,1
81,23.16,1
82,23.42,1
83,23.72,1
84,23.49,0
85,23.31,0
86,23.17,0
87,22.97,0
88,22.78,0
89,22.59,0
90,22.44,0
91,22.28,0
92,22.09,0
93,21.84,0
94,21.69,0
95,21.51,0
96,21.37,0
97,21.17,0
98,21.07,0
99,20.85,0
100,20.73,0
101,20.54,0
102,20.31,0
103,20.6,1
104,20.94,1
105,21.36,1
106,21.75,1
107,22.13,1
108,22.36,1
109,22.75,1
110,23.13,1
111,23.45,1
112,23.77,1
113,23.57,0
114,23.46,0
115,23.21,0
116,22.99,0
117,22.86,0
118,22.64,0
119,22.42,0
120,22.22,0
121,21.96,0
122,21.77,0
123,21.51,0
124,21.35,0
125,21.15,0
126,21.06,0
127,20.87,0
128,20.74,0
129,20.47,0
130,20.81,1
131,21.18,1
132,21.62,1
133,21.89,1
134,22.29,1
135,22.67,1
136,23.1,1
137,23.49,1
138,23.84,1
139,23.61,0
140,23.35,0
141,23.16,0
142,22.95,0
143,22.85,0
144,22.62,0
145,22.44,0
146,22.16,0
147,21.94,0
148,21.75,0
149,21.59,0
150,21.46,0
151,21.26,0
152,21.0,0
153,20.82,0
154,20.65,0
155,20.47,0
156,20.78,1
157,21.19,1
158,21.54,1
159,21.92,1
160,22.33,1
161,22.71,1
162,23.07,1
163,23.53,1
164,23.34,0
165,23.13,0
166,22.94,0
167,22.81,0
168,22.62,0
169,22.45,0
170,22.31,0
171,22.08,0
172,21.79,0
173,21.6,0
174,21.41,0
175,21.18,0
176,21.02,0
177,20.85,0
178,20.6,0
179,20.43,0
180,20.77,1
181,21.05,1
182,21.42,1
183,21.77,1
184,22.08,1
185,22.46,1
186,22.83,1
187,23.15,1
188,23.52,1
189,23.37,0
190,23.13,0
191,22.95,0
192,22.75,0
193,22.66,0
194,22.37,0
195,22.2,0
196,21.98,0
197,21.77,0
198,21.67,0
199,21.47,0
200,21.38,0
201,21.16,0
202,20.98,0
203,20.76,0
204,20.53,0
205,20.33,0
206,20.67,1
207,21.03,1
208,21.27,1
209,21.72,1
210,22.06,1
211,22.5,1
212,22.8,1
213,23.16,1
214,23.67,1
215,23.43,0
216,23.16,0
217,22.93,0
218,22.75,0
219,22.58,0
220,22.44,0
221,22.23,0
222,21.95,0
223,21.73,0
224,21.59,0
225,21.41,0
226,21.11,0
227,20.91,0
228,20.78,0
229,20.69,0
230,20.52,0
231,20.34,0
232,20.63,1
233,20.94,1
234,21.29,1
235,21.67,1
236,22.05,1
237,22.38,1
238,22.67,1
239,22.98,1
