date,client_id,description,hours,rate
2026-04-02,A001,業務 Web 改善 / 月次レポート画面追加,3.5,8000
2026-04-04,A002,在庫管理 PoC 仕様レビュー,2.0,12000
2026-04-08,A001,Markdown ベースの請求書テンプレ実装,4.0,8000
2026-04-10,A003,商品マスタの CSV 化支援,1.5,8000
2026-04-12,A002,FastAPI バックエンド実装(認証 + 注文),6.0,12000
2026-04-15,A004,PowerPoint からの Marp 移行コンサル,2.0,10000
2026-04-17,A001,デプロイ自動化(GitHub Actions),3.0,8000
2026-04-20,A003,データ移行スクリプト(Excel → SQLite),2.5,8000
2026-04-22,A002,Pydantic スキーマ整理 / API ドキュメント,3.0,12000
2026-04-24,A001,本番リリース立ち会い + 障害対応,4.5,10000
2026-04-26,A004,業務マニュアル Markdown 化(50 ページ),5.0,8000
2026-04-28,A002,月次クロージング作業 / コードレビュー,2.0,12000
