item_code,name_ja,name_it,name_en,id_prefix,dop_igp_count,description
TOM,トマト,Pomodoro,Tomato,IT-VEG-TOM,3,イタリア料理の基盤。ソース・生食・保存食に幅広く使用
EGG,ナス,Melanzana,Eggplant,IT-VEG-EGG,1,パルミジャーナ等の南イタリア料理に不可欠
PEP,ペッパー,Peperone,Pepper,IT-VEG-PEP,2,甘味種から辛味種まで。乾燥・粉末でも使用
ONI,タマネギ,Cipolla,Onion,IT-VEG-ONI,4,ソフリットの基本材料。赤・白・エシャロット含む
GAR,ニンニク,Aglio,Garlic,IT-VEG-GAR,3,イタリア料理の香味ベース
ASP,アスパラガス,Asparago,Asparagus,IT-VEG-ASP,6,白・緑の品種。春の代表的野菜
ART,アーティチョーク,Carciofo,Artichoke,IT-VEG-ART,4,ローマ料理の象徴。揚げ・煮・生食
CRT,ニンジン,Carota,Carrot,IT-VEG-CRT,2,ソフリットの基本材料
CLF,カリフラワー,Cavolfiore,Cauliflower,IT-VEG-CLF,1,南イタリアで特に重要
CEL,セロリ,Sedano,Celery,IT-VEG-CEL,1,ソフリットの基本材料
FEN,フェンネル,Finocchio,Fennel,IT-VEG-FEN,1,イタリア独特の野菜。生食・煮込み
CHI,チコリー・ラディッキオ,Radicchio / Cicoria,Chicory / Radicchio,IT-VEG-CHI,4,ヴェネト州の特産。サラダ・グリル
LEF,レタス・葉物,Insalata / Rucola,Lettuce / Leafy Greens,IT-VEG-LEF,2,サラダの基本。ルッコラ含む
BEN,インゲン豆,Fagiolo,Bean,IT-VEG-BEN,6,トスカーナ料理の主役。乾燥豆文化
LNT,レンズ豆,Lenticchia,Lentil,IT-VEG-LNT,3,年越し料理に不可欠。中部イタリア
POT,ジャガイモ,Patata,Potato,IT-VEG-POT,6,ニョッキの材料。山岳地域で重要
OLV,オリーブ,Oliva,Olive,IT-VEG-OLV,5,テーブルオリーブ。オイルとは別分類
CAP,ケッパー,Cappero,Caper,IT-VEG-CAP,2,シチリアの特産。南イタリア料理に重要
HRB,ハーブ,Erbe Aromatiche,Herbs,IT-VEG-HRB,1,バジル等。料理の香りづけ
MUS,キノコ,Fungo,Mushroom,IT-VEG-MUS,1,ポルチーニ。秋の味覚
ROT,カブ,Rapa / Brovada,Turnip,IT-VEG-ROT,1,フリウリの発酵カブ（ブロヴァーダ）
KAL,ケール・カーボロネロ,Cavolo Nero / Cavolo Riccio,Kale / Cavolo Nero,IT-VEG-KAL,0,非結球アブラナ属。トスカーナのカーボロネロとプーリアのカーボロ・リッチョ
BRC,ブロッコリー,Broccolo,Broccoli,IT-VEG-BRC,0,フィオラーロ・ロマネスコ等の伝統品種。PAT・Presidio認定多数
ZUC,ズッキーニ,Zucchina,Zucchini,IT-VEG-ZUC,0,ナポリ系・ミラノ系・ロマネスコ等。トロンベッタはC. moschata
CAB,結球キャベツ,Cavolo Cappuccio / Verza,Cabbage / Savoy Cabbage,IT-VEG-CAB,0,ヴェルザとカップッチョ。北イタリアの冬野菜文化の中核
KOR,コールラビ,Cavolo Rapa,Kohlrabi,IT-VEG-KOR,0,シチリアのTrunzo di AciはSlow Food Presidio。南北で異なる食文化
CIM,チーメ・ディ・ラーパ,Cime di rapa / Friarielli,Turnip Greens / Broccoli Rabe,IT-VEG-CIM,0,南イタリアの葉用カブ（B. rapa）。プーリア・カンパニア・ラツィオ
CHP,ヒヨコマメ,Cece,Chickpea,IT-VEG-CHP,0,古代ローマから続くタンパク源。ファリナータ・パスタエチェチの材料
PEA,エンドウマメ,Pisello,Pea,IT-VEG-PEA,0,リジ・エ・ビジの主役。北部から南部まで多様な在来品種
FVB,ソラマメ,Fava,Fava Bean,IT-VEG-FVB,1,古代ローマの儀礼食。マッコ・ヴィニャローラの材料。レオンフォルテIGP
GBN,ファジョーリニ,Fagiolini,Green Bean / Snap Bean,IT-VEG-GBN,0,サヤインゲン（マンジャトゥット）。ペスト・トマト煮込みの定番
LEK,ポロ（リーキ）,Porro,Leek,IT-VEG-LEK,0,ネロ帝の愛菜。ピエモンテの軟白栽培が有名。スープ・リゾットの基本
AGR,アグレッティ,Agretti / Barba di Frate,Agretti / Monk's Beard,IT-VEG-AGR,0,塩生植物。ローマの春の味覚。ソーダ灰原料の歴史
GRP,ブドウ,Uva / Vite,Grape / Vine,IT-VEG-GRP,0,食用ブドウとワイン用品種。古代ローマからの栽培史
RUC,ルッコラ,Rucola / Rughetta,Arugula / Rocket,IT-VEG-RUC,0,野生種と栽培種の二系統。ローマ時代から媚薬の伝承
LET,レタス,Lattuga,Lettuce,IT-VEG-LET,0,古代ローマの宴のしめ。地方在来品種が豊富
PRS,イタリアンパセリ,Prezzemolo,Italian Parsley,IT-VEG-PRS,0,平葉種。イタリア料理の万能ハーブ
FIG,イチジク,Fico,Fig,IT-VEG-FIG,0,地中海文明の象徴的果実。DOP認定あり
MLN,メロン,Melone,Melon,IT-VEG-MLN,0,ルネサンス期の教皇の愛果。カンタルーポの語源
RAD,ラディッシュ,Ravanello / Rapanello,Radish,IT-VEG-RAD,0,古代ローマから栽培。地方在来品種が多様
SAG,セージ,Salvia,Sage,IT-VEG-SAG,0,「救う草」の語源。サルティンボッカに不可欠
LUP,ルピニ豆,Lupino,Lupin Bean,IT-VEG-LUP,0,古代ローマの貧者の食料。南イタリアの祭り菓子
WHT,小麦,Grano,Wheat,IT-VEG-WHT,0,デュラム小麦と軟質小麦。パスタ・パン文化の基盤
PPC,ペペロンチーノ,Peperoncino,Chili Pepper,IT-VEG-PPC,0,カラブリアの象徴。アーリオ・オーリオに不可欠
LMN,レモン,Limone,Lemon,IT-VEG-LMN,0,アマルフィ・シチリアの特産。IGP認定品種あり
RSM,ローズマリー,Rosmarino,Rosemary,IT-VEG-RSM,0,「海の露」の意。アロスト（焼肉）の定番ハーブ
RIC,米,Riso,Rice,IT-VEG-RIC,0,ポー平野の水田地帯。リゾット文化の基盤。DOP/IGP認定あり
